Miasta,Województwo,Powiaty i miasta na prawach powiatu,Area in km²,Population,Search
Puszczykowo,wielkopolskie,Poznański,16,9292,puszczykowo
Kudowa-Zdrój,dolnośląskie,Kłodzki,34,9280,kudowa-zdroj
Dobre Miasto,warmińsko-mazurskie,Olsztyński,5,9255,dobre%20miasto
Karczew,mazowieckie,Otwocki,28,9245,karczew%20(pow.%20otwocki)
Władysławowo,pomorskie,Pucki,33,9235,wladyslawowo
Sztum,pomorskie,Sztumski,5,9104,sztum
Skwierzyna,lubuskie,Międzyrzecki,36,9078,skwierzyna
Kruszwica,kujawsko-pomorskie,Inowrocławski,10,9070,kruszwica
Olesno,opolskie,Oleski,15,9047,olesno
Blachownia,śląskie,Częstochowski,37,9041,blachownia
